"SS" "df" "F" "p-value"
"tipo" 233.891835614715 2 72.9540223317842 1.68675435980629e-18
"localidad" 13.0900918606385 1 8.16595287660433 0.0054869949451542
"tipo:localidad" 27.1965521813366 2 8.48297192576283 0.000468305676778956
"Residuals" 123.431654394789 77 NA NA
