"model.name" "df" "logLiktweedie" "AICtweedie" "delta" "r2nagelkerke" "r2"
"mfull" "~ habitat type + site + habitat type:site" 6 -221.891628430011 457.783256860022 0 0.97 0.678
"mtl" "~ habitat type + site" 4 -231.829332701485 473.658665402971 15.8754085429485 0.955 0.61
"mt" "~ habitat type" 3 -236.211558212378 480.423116424756 22.6398595647341 0.946 0.578
"ml" "~ site" 2 -291.061263224964 588.122526449927 130.339269589905 0.116 0.025
"mnull" "null model" 1 -293.096825246281 590.193650492562 132.41039363254 0 0
