"idvisitas","idvalidacion","iduser","idgeo","fvisita","idobs1","idobs2","idviento","temperatura","idnubes","observaciones","fcreacion","fmodificacion","ptf","protocolo","ffin"
34,NULL,NULL,"15","2009-07-30 10:20:00",76,83,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20090730",16,"2009-07-30 11:20:00"
35,NULL,NULL,"16","2009-06-19 10:00:00",55,0,1,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090619",16,"2009-06-19 11:00:00"
36,NULL,NULL,"16","2009-06-24 11:20:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090624",16,"2009-06-24 12:19:59"
37,NULL,NULL,"16","2009-07-01 10:20:00",55,82,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090701",16,"2009-07-01 11:43:00"
38,NULL,NULL,"16","2009-07-09 10:20:00",76,0,1,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090709",16,"2009-07-09 11:40:00"
39,NULL,NULL,"16","2009-07-15 10:30:00",76,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090715",16,"2009-07-15 11:40:00"
40,NULL,NULL,"16","2009-07-20 00:00:00",76,0,4,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090720",16,"2009-07-20 00:00:00"
41,NULL,NULL,"16","2009-07-27 10:30:00",76,0,2,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090727",16,"2009-07-27 11:25:00"
42,NULL,NULL,"14","2009-06-25 11:20:00",76,74,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090625",16,"2009-06-25 12:40:00"
43,NULL,NULL,"14","2009-06-29 10:20:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090629",16,"2009-06-29 12:30:00"
