"idvisitas","idvalidacion","iduser","idgeo","fvisita","idobs1","idobs2","idviento","temperatura","idnubes","observaciones","fcreacion","fmodificacion","ptf","protocolo","ffin"
2322,NULL,NULL,"12","2012-03-20 08:15:00",71,0,0,NULL,0,"","2012-11-08 11:23:50.856","2012-11-08 11:23:50.856","5-12-20120320",5,"2012-03-20 10:30:00"
2323,NULL,NULL,"13","2012-03-18 08:10:00",71,0,0,NULL,0,"","2012-11-08 11:30:32.522","2012-11-08 11:30:32.522","5-13-20120318",5,"2012-03-18 10:40:00"
2324,NULL,NULL,"11","2012-03-05 08:35:00",59,0,0,NULL,0,"","2012-11-08 12:09:09.556","2012-11-08 12:09:09.556","5-11-20120305",5,"2012-03-05 10:10:00"
2325,NULL,NULL,"3","2012-03-14 09:00:00",60,0,0,NULL,0,"","2012-11-08 12:37:33.288","2012-11-08 12:37:33.288","5-3-20120314",5,"2012-03-14 10:45:00"
2326,NULL,NULL,"5","2012-03-16 09:00:00",59,0,0,NULL,0,"","2012-11-08 13:44:15.566","2012-11-08 13:44:15.566","5-5-20120316",5,"2012-03-16 10:00:00"
2327,NULL,NULL,"8","2012-03-28 07:20:00",60,0,0,NULL,0,"","2012-11-08 13:53:55.744","2012-11-08 13:53:55.744","5-8-20120328",5,"2012-03-28 09:15:00"
2328,NULL,NULL,"2","2012-03-16 08:40:00",75,54,0,NULL,0,"","2012-11-09 07:36:18.547","2012-11-09 07:36:18.547","5-2-20120316",5,"2012-03-16 09:50:00"
2329,NULL,NULL,"6","2012-03-20 08:10:00",56,0,0,NULL,0,"","2012-11-09 07:44:54.287","2012-11-09 07:44:54.287","5-6-20120320",5,"2012-03-20 09:45:00"
2330,NULL,NULL,"10","2012-03-26 08:05:00",57,0,0,NULL,0,"","2012-11-09 07:52:01.945","2012-11-09 07:52:01.945","5-10-20120326",5,"2012-03-26 09:25:00"
2331,NULL,NULL,"4","2012-03-26 08:15:00",60,0,0,NULL,0,"","2012-11-09 08:06:15.314","2012-11-09 08:06:15.314","5-4-20120326",5,"2012-03-26 10:15:00"
2332,NULL,NULL,"9","2012-04-23 08:55:00",62,0,0,NULL,0,"","2012-11-09 08:17:05.153","2012-11-09 08:17:05.153","5-9-20120423",5,"2012-04-12 10:30:00"
2333,NULL,NULL,"10","2012-04-09 07:55:00",60,0,2,NULL,0,"","2012-11-11 12:01:02.769","2012-11-11 12:01:02.769","5-10-20120409",5,"2012-04-09 09:25:00"
2334,NULL,NULL,"13","2012-04-11 07:15:00",71,0,0,NULL,0,"","2012-11-11 12:08:10.157","2012-11-11 12:08:10.157","5-13-20120411",5,"2012-04-11 09:30:00"
2335,NULL,NULL,"5","2012-04-10 07:20:00",57,0,0,NULL,0,"","2012-11-11 13:00:37.017","2012-11-11 13:00:37.017","5-5-20120410",5,"2012-04-10 09:45:00"
2336,NULL,NULL,"6","2012-04-12 07:50:00",59,0,0,NULL,0,"","2012-11-11 13:17:59.391","2012-11-11 13:17:59.391","5-6-20120412",5,"2012-04-12 09:30:00"
2337,NULL,NULL,"2","2012-04-23 07:20:00",59,0,0,NULL,0,"","2012-11-11 14:02:58.767","2012-11-11 14:02:58.767","5-2-20120423",5,"2012-04-23 08:45:00"
2338,NULL,NULL,"4","2012-04-23 08:05:00",60,0,0,NULL,0,"","2012-11-11 16:44:32.243","2012-11-11 16:44:32.243","5-4-20120423",5,"2012-04-23 10:25:00"
2339,NULL,NULL,"11","2012-04-24 08:00:00",57,0,0,NULL,0,"","2012-11-11 17:02:21.253","2012-11-11 17:02:21.253","5-11-20120424",5,"2012-04-24 09:45:00"
2340,NULL,NULL,"3","2012-04-24 07:20:00",56,0,2,NULL,0,"","2012-11-11 17:18:33.377","2012-11-11 17:18:33.377","5-3-20120424",5,"2012-04-24 08:45:00"
2342,NULL,NULL,"7","2012-05-04 07:12:00",55,0,2,NULL,1,"","2012-11-11 17:29:09.343","2012-11-11 17:29:09.343","5-7-20120504",5,"2012-05-04 08:27:00"
2343,NULL,NULL,"2","2012-05-07 08:10:00",57,0,0,NULL,0,"","2012-11-12 07:12:51.184","2012-11-12 07:12:51.184","5-2-20120507",5,"2012-05-07 09:50:00"
2344,NULL,NULL,"5","2012-05-14 08:00:00",60,0,0,NULL,0,"","2012-11-12 07:46:34.083","2012-11-12 07:46:34.083","5-5-20120514",5,"2012-05-14 10:05:00"
2345,NULL,NULL,"3","2012-05-16 07:15:00",59,0,0,NULL,0,"","2012-11-12 08:06:50.294","2012-11-12 08:06:50.294","5-3-20120516",5,"2012-05-16 08:47:00"
2346,NULL,NULL,"56","2012-05-17 07:15:00",59,0,0,NULL,0,"","2012-11-12 08:12:21.428","2012-11-12 08:12:21.428","5-56-20120517",5,"2012-05-17 08:20:00"
2347,NULL,NULL,"6","2012-05-22 08:30:00",59,0,0,NULL,0,"","2012-11-12 08:46:20.441","2012-11-12 08:46:20.441","5-6-20120522",5,"2012-05-22 09:30:00"
2348,NULL,NULL,"4","2012-05-23 08:10:00",60,0,8,NULL,5,"","2012-11-12 10:41:22.825","2012-11-12 10:41:22.825","5-4-20120523",5,"2012-11-12 09:53:00"
2349,NULL,NULL,"11","2012-05-28 08:00:00",60,0,0,NULL,0,"","2012-11-12 11:01:35.937","2012-11-12 11:01:35.937","5-11-20120528",5,"2012-05-28 09:25:00"
2350,NULL,NULL,"57","2012-05-16 07:50:00",56,0,0,NULL,0,"","2012-11-12 11:05:22.465","2012-11-12 11:05:22.465","5-57-20120516",5,"2012-05-16 09:20:00"
2351,NULL,NULL,"10","2012-05-24 07:40:00",56,0,0,NULL,0,"","2012-11-12 11:10:12.303","2012-11-12 11:10:12.303","5-10-20120524",5,"2012-05-24 09:05:00"
2352,NULL,NULL,"54","2012-05-18 07:00:00",71,0,0,NULL,0,"","2012-11-12 11:18:33.453","2012-11-12 11:18:33.453","5-54-20120518",5,"2012-05-18 09:10:00"
2353,NULL,NULL,"13","2012-05-11 07:00:00",71,0,0,NULL,0,"","2012-11-12 11:26:08.076","2012-11-12 11:26:08.076","5-13-20120511",5,"2012-05-11 09:10:00"
2354,NULL,NULL,"12","2012-05-10 07:00:00",71,0,0,NULL,0,"","2012-11-12 11:39:27.34","2012-11-12 11:39:27.34","5-12-20120510",5,"2012-05-10 09:00:00"
2355,NULL,NULL,"7","2012-06-15 06:40:00",62,0,0,NULL,0,"","2012-11-12 12:00:35.098","2012-11-12 12:00:35.098","5-7-20120615",5,"2012-06-15 08:15:00"
2356,NULL,NULL,"56","2012-06-01 07:05:00",57,0,0,NULL,0,"","2012-11-12 12:07:44.263","2012-11-12 12:07:44.263","5-56-20120601",5,"2012-06-01 09:00:00"
2357,NULL,NULL,"3","2012-06-05 08:00:00",60,0,0,NULL,0,"","2012-11-12 12:22:59.303","2013-01-21 10:06:51.36","5-3-20120605",5,"2012-06-05 10:05:00"
2358,NULL,NULL,"4","2012-06-07 07:45:00",59,0,0,NULL,0,"","2012-11-12 13:03:15.001","2012-11-12 13:03:15.001","5-4-20120607",5,"2012-06-07 10:00:00"
2359,NULL,NULL,"6","2012-06-08 07:25:00",57,0,0,NULL,0,"","2012-11-12 13:16:57.675","2012-11-12 13:16:57.675","5-6-20120608",5,"2012-06-08 09:10:00"
2360,NULL,NULL,"11","2012-06-13 07:30:00",56,0,0,NULL,0,"","2012-11-12 13:22:53.67","2012-11-12 13:22:53.67","5-11-20120613",5,"2012-06-13 09:10:00"
2361,NULL,NULL,"5","2012-06-18 07:15:00",56,0,0,NULL,0,"","2012-11-12 13:30:39.75","2012-11-12 13:30:39.75","5-5-20120618",5,"2012-06-18 08:50:00"
2362,NULL,NULL,"2","2012-06-18 07:50:00",60,0,0,NULL,0,"","2012-11-12 13:40:21.177","2013-01-21 10:08:37.426","5-2-20120618",5,"2012-06-18 10:00:00"
2363,NULL,NULL,"10","2012-06-26 07:55:00",59,0,0,NULL,0,"","2012-11-12 13:47:20.952","2012-11-12 13:47:20.952","5-10-20120626",5,"2012-06-26 09:00:00"
2364,NULL,NULL,"54","2012-06-09 07:00:00",71,0,0,NULL,0,"","2012-11-12 13:54:20.604","2012-11-12 13:54:20.604","5-54-20120609",5,"2012-06-09 09:10:00"
2365,NULL,NULL,"12","2012-06-02 07:00:00",71,0,0,NULL,0,"","2012-11-12 16:32:31.279","2012-11-12 16:32:31.279","5-12-20120602",5,"2012-06-02 09:10:00"
2366,NULL,NULL,"13","2012-06-12 07:00:00",71,0,0,NULL,0,"","2012-11-12 16:39:55.041","2012-11-12 16:39:55.041","5-13-20120612",5,"2012-06-12 09:00:00"
2367,NULL,NULL,"57","2012-06-12 08:20:00",59,0,0,NULL,0,"","2012-11-12 16:58:35.251","2012-11-12 16:58:35.251","5-57-20120612",5,"2012-06-12 10:00:00"
2368,NULL,NULL,"57","2012-07-03 07:55:00",57,0,0,NULL,0,"","2012-11-12 17:02:53.371","2012-11-12 17:02:53.371","5-57-20120703",5,"2012-07-03 09:30:00"
2369,NULL,NULL,"11","2012-07-03 07:20:00",59,0,0,NULL,0,"","2012-11-12 17:17:16.222","2012-11-12 17:17:16.222","5-11-20120703",5,"2012-07-03 08:25:00"
2370,NULL,NULL,"10","2012-07-04 08:00:00",60,0,0,NULL,0,"","2012-11-12 17:22:21.496","2012-11-12 17:22:21.496","5-10-20120704",5,"2012-07-04 09:30:00"
2371,NULL,NULL,"4","2012-07-05 07:15:00",57,0,0,NULL,0,"","2012-11-12 17:50:31.403","2012-11-12 17:50:31.403","5-4-20120705",5,"2012-07-05 09:23:00"
2372,NULL,NULL,"5","2012-07-05 07:25:00",59,0,0,NULL,4,"","2012-11-12 18:18:32.757","2012-11-12 18:18:32.757","5-5-20120705",5,"2012-07-05 08:20:00"
2373,NULL,NULL,"2","2012-07-21 07:15:00",56,0,0,NULL,0,"","2012-11-12 18:29:02.086","2012-11-12 18:29:02.086","5-2-20120721",5,"2012-07-21 08:35:00"
2374,NULL,NULL,"6","2012-07-27 07:20:00",56,0,0,NULL,0,"","2012-11-12 18:38:48.31","2012-11-12 18:38:48.31","5-6-20120727",5,"2012-07-27 08:40:00"
2375,NULL,NULL,"3","2012-07-30 07:40:00",60,0,1,NULL,0,"","2012-11-12 19:01:36.667","2012-11-12 19:01:36.667","5-3-20120730",5,"2012-07-30 09:50:00"
2376,NULL,NULL,"7","2012-07-24 05:58:00",62,0,0,NULL,0,"","2012-11-12 19:10:57.298","2012-11-12 19:10:57.298","5-7-20120724",5,"2012-07-24 07:37:00"
2377,NULL,NULL,"56","2012-07-26 07:25:00",55,0,2,NULL,0,"","2012-11-12 19:33:45.046","2012-11-12 19:33:45.046","5-56-20120726",5,"2012-07-26 08:34:00"
2378,NULL,NULL,"54","2012-07-10 07:00:00",71,0,0,NULL,0,"","2012-11-12 19:40:40.88","2012-11-12 19:40:40.88","5-54-20120710",5,"2012-07-10 09:00:00"
2379,NULL,NULL,"12","2012-07-15 07:00:00",71,0,0,NULL,0,"","2012-11-12 19:50:58.554","2012-11-12 19:50:58.554","5-12-20120715",5,"2012-07-15 08:50:00"
2380,NULL,NULL,"13","2012-07-06 07:00:00",71,0,1,NULL,0,"","2012-11-12 19:59:09.331","2012-11-12 19:59:09.331","5-13-20120706",5,"2012-07-06 09:10:00"
2381,NULL,NULL,"55","2012-08-24 08:45:00",55,0,1,NULL,0,"","2012-11-12 20:01:43.02","2012-11-12 20:01:43.02","5-55-20120824",5,"2012-08-24 09:40:00"
2382,NULL,NULL,"56","2012-08-04 07:40:00",56,0,0,NULL,0,"","2012-11-12 20:07:56.497","2012-11-12 20:07:56.497","5-56-20120804",5,"2012-08-04 08:55:00"
2383,NULL,NULL,"8","2012-08-06 07:15:00",56,0,0,NULL,0,"","2012-11-12 20:13:05.024","2012-11-12 20:13:05.024","5-8-20120806",5,"2012-08-06 09:00:00"
2384,NULL,NULL,"55","2012-08-09 08:05:00",59,0,0,NULL,0,"","2012-11-12 20:28:49.316","2012-11-12 20:28:49.316","5-55-20120809",5,"2012-08-09 09:00:00"
2385,NULL,NULL,"4","2012-08-06 07:35:00",60,0,0,NULL,0,"","2012-11-12 22:02:11.557","2012-11-12 22:02:11.557","5-4-20120806",5,"2012-08-06 09:55:00"
2386,NULL,NULL,"3","2012-08-09 07:40:00",56,0,0,NULL,0,"","2012-11-12 22:11:13.548","2012-11-12 22:11:13.548","5-3-20120809",5,"2012-11-09 09:55:00"
2387,NULL,NULL,"11","2012-08-10 07:40:00",60,0,1,NULL,0,"","2012-11-12 22:20:25.673","2012-11-12 22:20:25.673","5-11-20120810",5,"2012-08-10 09:20:00"
2388,NULL,NULL,"57","2012-08-20 08:00:00",60,0,2,NULL,0,"","2012-11-12 22:22:30.847","2012-11-12 22:22:30.847","5-57-20120820",5,"2012-08-20 09:10:00"
2389,NULL,NULL,"10","2012-08-31 07:50:00",60,0,0,NULL,0,"","2012-11-12 22:28:45.827","2012-11-12 22:28:45.827","5-10-20120831",5,"2012-08-31 09:15:00"
2390,NULL,NULL,"9","2012-08-28 06:10:00",62,0,0,NULL,0,"","2012-11-12 22:36:21.629","2012-11-12 22:36:21.629","5-9-20120828",5,"2012-08-28 07:40:00"
2391,NULL,NULL,"7","2012-08-23 07:15:00",62,0,1,NULL,1,"","2012-11-12 22:41:57.549","2012-11-12 22:41:57.549","5-7-20120823",5,"2012-08-23 08:36:00"
2392,NULL,NULL,"13","2012-08-20 07:10:00",71,0,0,NULL,0,"","2012-11-13 07:38:49.597","2012-11-13 07:38:49.597","5-13-20120820",5,"2012-08-20 08:40:00"
2393,NULL,NULL,"54","2012-08-10 07:00:00",71,0,0,NULL,0,"","2012-11-13 07:57:54.646","2012-11-13 07:57:54.646","5-54-20120810",5,"2012-08-10 08:50:00"
2394,NULL,NULL,"12","2012-08-10 07:00:00",71,0,0,NULL,0,"","2012-11-13 08:05:56.644","2012-11-13 08:05:56.644","5-12-20120810",5,"2012-08-10 09:00:00"
2395,NULL,NULL,"2","2012-08-23 07:40:00",59,0,0,NULL,0,"","2012-11-13 08:25:21.67","2012-11-13 08:25:21.67","5-2-20120823",5,"2012-08-23 09:00:00"
2396,NULL,NULL,"5","2012-08-24 07:25:00",59,0,0,NULL,0,"","2012-11-13 08:58:27.147","2012-11-13 08:58:27.147","5-5-20120824",5,"2012-08-24 08:30:00"
2397,NULL,NULL,"6","2012-08-03 07:10:00",59,0,0,NULL,0,"","2012-11-13 09:07:42.656","2012-11-13 09:07:42.656","5-6-20120803",5,"2012-08-03 08:20:00"
2398,NULL,NULL,"7","2012-09-13 06:55:00",62,0,1,NULL,1,"","2012-11-13 09:18:38.437","2012-11-13 09:18:38.437","5-7-20120913",5,"2012-09-13 08:20:00"
2399,NULL,NULL,"2","2012-09-27 06:40:00",55,0,0,NULL,4,"","2012-11-13 09:29:49.893","2012-11-13 09:29:49.893","5-2-20120927",5,"2012-09-27 07:45:00"
2400,NULL,NULL,"9","2012-09-24 07:45:00",55,0,0,NULL,3,"","2012-11-13 10:14:27.936","2012-11-13 10:14:27.936","5-9-20120924",5,"2012-09-24 09:25:00"
2401,NULL,NULL,"55","2012-09-14 07:05:00",57,0,0,NULL,0,"","2012-11-13 10:17:17.902","2012-11-13 10:17:17.902","5-55-20120914",5,"2012-09-14 08:30:00"
2402,NULL,NULL,"4","2012-09-18 07:00:00",56,0,0,NULL,0,"","2012-11-13 10:37:18.182","2012-11-13 10:37:18.182","5-4-20120918",5,"2012-09-18 08:35:00"
2403,NULL,NULL,"56","2012-09-19 07:45:00",59,0,0,NULL,0,"","2012-11-13 10:45:35.561","2012-11-13 10:45:35.561","5-56-20120919",5,"2012-09-19 08:40:00"
2404,NULL,NULL,"6","2012-09-20 07:30:00",57,0,0,NULL,0,"","2012-11-13 10:55:30.244","2012-11-13 10:55:30.244","5-6-20120920",5,"2012-09-20 09:00:00"
2405,NULL,NULL,"3","2012-09-24 07:30:00",59,0,0,NULL,0,"","2012-11-13 11:06:56.269","2012-11-13 11:06:56.269","5-3-20120924",5,"2012-09-24 09:20:00"
2406,NULL,NULL,"5","2012-09-25 07:55:00",60,0,0,NULL,0,"","2012-11-13 11:35:03.506","2012-11-13 11:35:03.506","5-5-20120925",5,"2012-09-25 10:05:00"
2407,NULL,NULL,"11","2012-09-26 07:23:00",60,0,2,NULL,0,"","2012-11-13 11:39:07.091","2012-11-13 11:39:07.091","5-11-20120926",5,"2012-09-26 08:51:00"
2408,NULL,NULL,"10","2012-09-30 07:03:00",56,0,0,NULL,0,"","2012-11-13 11:41:45.23","2012-11-13 11:41:45.23","5-10-20120930",5,"2012-09-30 08:25:00"
2409,NULL,NULL,"54","2012-09-10 07:10:00",71,0,1,NULL,0,"","2012-11-13 11:47:38.228","2012-11-13 11:47:38.228","5-54-20120910",5,"2012-09-10 08:30:00"
2410,NULL,NULL,"13","2012-09-20 07:15:00",71,0,0,NULL,0,"","2012-11-13 11:53:35.454","2012-11-13 11:53:35.454","5-13-20120920",5,"2012-09-20 08:40:00"
2411,NULL,NULL,"12","2012-09-20 07:00:00",71,0,1,NULL,0,"","2012-11-13 12:01:03.336","2012-11-13 12:01:03.336","5-12-20120920",5,"2012-09-20 09:00:00"
2412,NULL,NULL,"9","2012-10-29 08:20:00",55,0,0,NULL,0,"","2012-11-13 12:45:46.986","2012-11-13 12:45:46.986","5-9-20121029",5,"2012-10-29 09:50:00"
2413,NULL,NULL,"8","2011-09-19 09:00:00",60,0,0,NULL,0,"","2013-01-15 13:33:45.579","2013-01-15 13:33:45.579","5-8-20110919",5,"2011-09-19 10:50:00"
2414,NULL,NULL,"8","2012-11-13 07:00:00",62,0,0,NULL,0,"","2013-01-18 10:56:30.166","2013-01-18 10:56:30.166","5-8-20121113",5,"2013-01-18 08:10:00"
2415,NULL,NULL,"9","2011-12-13 08:55:00",55,0,0,NULL,0,"","2013-01-18 11:25:53.255","2013-01-18 11:25:53.255","5-9-20111213",5,"2011-12-13 10:20:00"
2416,NULL,NULL,"9","2011-11-02 08:00:00",62,0,1,NULL,4,"","2013-01-18 11:45:53.592","2013-01-18 11:45:53.592","5-9-20111102",5,"2011-11-02 10:24:00"
2417,NULL,NULL,"9","2011-02-17 08:00:00",62,0,0,NULL,0,"","2013-01-18 12:01:15.504","2013-01-18 12:01:15.504","5-9-20110217",5,"2011-02-17 09:46:00"
2418,NULL,NULL,"9","2012-12-11 08:30:00",62,0,0,NULL,0,"","2013-01-18 12:13:26.439","2013-01-18 12:13:26.439","5-9-20121211",5,"2012-12-11 10:01:00"
2419,NULL,NULL,"9","2012-11-23 08:00:00",62,0,0,NULL,1,"","2013-01-18 12:28:11.696","2013-01-18 12:28:11.696","5-9-20121123",5,"2012-11-23 09:50:00"
2420,NULL,NULL,"7","2012-12-05 08:30:00",62,0,0,NULL,2,"","2013-01-18 12:35:44.105","2013-01-18 12:35:44.105","5-7-20121205",5,"2012-12-05 09:45:00"
2421,NULL,NULL,"2","2010-08-16 07:20:00",56,0,0,NULL,1,"","2013-01-22 08:39:12.74","2013-01-22 08:39:12.74","5-2-20100816",5,"2010-08-16 08:50:00"
2422,NULL,NULL,"3","2010-08-18 07:05:00",56,0,1,NULL,3,"","2013-01-22 08:56:59.351","2013-01-22 08:56:59.351","5-3-20100818",5,"2010-08-18 08:50:00"
2423,NULL,NULL,"57","2010-08-19 08:00:00",60,0,0,NULL,2,"","2013-01-22 09:09:36.803","2013-01-22 09:09:36.803","5-57-20100819",5,"2010-08-19 09:30:00"
2424,NULL,NULL,"4","2010-08-20 07:40:00",59,0,0,NULL,0,"","2013-01-22 09:47:00.462","2013-01-22 09:47:00.462","5-4-20100820",5,"2010-08-20 09:15:00"
2425,NULL,NULL,"10","2010-08-23 08:00:00",60,0,2,NULL,0,"","2013-01-22 10:03:56.472","2013-01-22 10:03:56.472","5-10-20100823",5,"2010-08-23 09:25:00"
2426,NULL,NULL,"12","2010-08-25 07:30:00",58,0,1,NULL,0,"","2013-01-22 11:11:08.65","2013-01-22 11:11:08.65","5-12-20100825",5,"2010-08-25 10:45:00"
2427,NULL,NULL,"13","2010-08-23 07:30:00",58,0,0,NULL,0,"","2013-01-22 11:51:18.459","2013-01-22 11:51:18.459","5-13-20100823",5,"2010-08-23 10:00:00"
2428,NULL,NULL,"54","2010-08-11 06:45:00",71,0,1,NULL,0,"","2013-01-22 11:59:39.54","2013-01-22 11:59:39.54","5-54-20100811",5,"2010-08-11 09:30:00"
2429,NULL,NULL,"6","2011-01-12 08:45:00",57,0,0,NULL,0,"","2013-01-22 12:43:44.358","2013-01-22 12:43:44.358","5-6-20110112",5,"2011-01-12 10:30:00"
2430,NULL,NULL,"13","2011-03-28 11:52:00",58,0,1,NULL,0,"","2013-01-22 13:00:03.426","2013-01-22 13:00:03.426","5-13-20110328",5,"2011-03-28 11:52:00"
2431,NULL,NULL,"12","2011-03-22 08:45:00",58,0,0,NULL,0,"","2013-01-22 13:21:02.746","2013-01-22 13:21:02.746","5-12-20110322",5,"2011-03-22 10:30:00"
2432,NULL,NULL,"10","2011-03-31 07:30:00",56,0,1,NULL,0,"","2013-01-22 13:28:22.013","2013-01-22 13:28:22.013","5-10-20110331",5,"2011-03-31 08:40:00"
2433,NULL,NULL,"13","2011-04-14 09:25:00",58,0,0,NULL,0,"","2013-01-22 13:41:48.289","2013-01-22 13:41:48.289","5-13-20110414",5,"2011-04-14 10:45:00"
2434,NULL,NULL,"12","2011-04-25 08:00:00",58,0,0,NULL,0,"","2013-01-23 08:36:14.805","2013-01-23 08:36:14.805","5-12-20110425",5,"2011-04-25 09:30:00"
2435,NULL,NULL,"10","2011-04-28 08:20:00",60,0,0,NULL,0,"","2013-01-23 08:58:06.725","2013-01-23 08:58:06.725","5-10-20110428",5,"2011-04-23 10:05:00"
2436,NULL,NULL,"4","2011-04-14 07:30:00",60,0,0,NULL,0,"","2013-01-23 13:37:38.064","2013-01-23 13:37:38.064","5-4-20110414",5,"2011-04-14 09:50:00"
2437,NULL,NULL,"6","2011-05-25 08:20:00",71,54,8,NULL,5,"","2013-01-24 11:34:49.797","2013-01-24 11:34:49.797","5-6-20110525",5,"2011-05-25 09:45:00"
2438,NULL,NULL,"10","2011-05-12 07:50:00",57,0,0,NULL,0,"","2013-01-24 11:50:54.619","2013-01-24 11:50:54.619","5-10-20110512",5,"2011-05-12 09:10:00"
2439,NULL,NULL,"12","2011-05-22 08:15:00",58,0,0,NULL,0,"","2013-01-24 12:13:53.016","2013-01-24 12:13:53.016","5-12-20110522",5,"2011-05-22 09:45:00"
2440,NULL,NULL,"13","2011-05-17 08:30:00",58,0,1,NULL,0,"","2013-01-24 12:30:37.748","2013-01-24 12:30:37.748","5-13-20110517",5,"2011-05-17 10:15:00"
2441,NULL,NULL,"2","2011-05-12 07:35:00",56,0,1,NULL,2,"","2013-01-24 13:13:55.853","2013-01-24 13:13:55.853","5-2-20110512",5,"2011-05-12 08:55:00"
2442,NULL,NULL,"3","2011-05-09 07:30:00",60,0,0,NULL,0,"","2013-01-24 13:52:02.815","2013-01-24 13:52:02.815","5-3-20110509",5,"2011-05-09 09:50:00"
2443,NULL,NULL,"3","2011-06-22 08:05:00",59,0,0,NULL,0,"","2013-01-25 07:55:48.68","2013-01-25 07:55:48.68","5-3-20110622",5,"2011-06-22 10:10:00"
2444,NULL,NULL,"6","2011-06-13 07:45:00",59,0,0,NULL,0,"","2013-01-25 08:11:49.373","2013-01-25 08:11:49.373","5-6-20110613",5,"2011-06-13 09:05:00"
2445,NULL,NULL,"5","2011-06-06 08:35:00",59,0,0,NULL,0,"","2013-01-25 08:37:58.129","2013-01-25 08:37:58.129","5-5-20110606",5,"2011-06-06 09:45:00"
2446,NULL,NULL,"54","2011-06-09 06:35:00",71,0,1,NULL,0,"","2013-01-25 08:51:42.926","2013-01-25 08:51:42.926","5-54-20110609",5,"2011-06-09 09:15:00"
2447,NULL,NULL,"4","2011-06-28 07:25:00",0,0,0,NULL,0,"","2013-01-25 09:24:48.842","2013-01-25 09:24:48.842","5-4-20110628",5,"2011-06-28 09:20:00"
2448,NULL,NULL,"5","2011-06-23 08:30:00",56,0,0,NULL,0,"","2013-01-25 09:36:08.239","2013-01-25 09:36:08.239","5-5-20110623",5,"2011-06-23 08:30:00"
2449,NULL,NULL,"56","2011-06-20 08:30:00",57,0,0,NULL,0,"","2013-01-25 09:50:39.034","2013-01-25 09:50:39.034","5-56-20110620",5,"2011-06-20 09:50:00"
2450,NULL,NULL,"11","2011-06-20 08:05:00",56,0,0,NULL,0,"","2013-01-25 10:02:39.391","2013-01-25 10:02:39.391","5-11-20110620",5,"2011-06-20 09:42:00"
2451,NULL,NULL,"10","2011-06-15 07:50:00",0,0,0,NULL,0,"","2013-01-25 10:58:15.094","2013-01-25 10:58:15.094","5-10-20110615",5,"2011-06-15 09:45:00"
2452,NULL,NULL,"2","2011-06-10 08:15:00",0,0,0,NULL,0,"","2013-01-25 11:14:34.921","2013-01-25 11:14:34.921","5-2-20110610",5,"2011-06-10 10:50:00"
2453,NULL,NULL,"57","2011-06-07 08:05:00",57,0,0,NULL,0,"","2013-01-25 11:38:15.841","2013-01-25 11:38:15.841","5-57-20110607",5,"2011-06-07 09:15:00"
2454,NULL,NULL,"4","2011-06-06 08:45:00",57,0,0,NULL,0,"","2013-01-25 11:58:15.035","2013-01-25 11:58:15.035","5-4-20110606",5,"2011-06-06 10:45:00"
2455,NULL,NULL,"13","2011-06-14 09:15:00",58,0,1,NULL,0,"","2013-01-25 12:28:59.501","2013-01-25 12:28:59.501","5-13-20110614",5,"2011-06-14 10:20:00"
2456,NULL,NULL,"12","2011-06-25 07:15:00",58,0,1,NULL,0,"","2013-01-25 12:46:28.82","2013-01-25 12:46:28.82","5-12-20110625",5,"2011-06-25 09:15:00"
2457,NULL,NULL,"56","2011-07-13 08:20:00",59,0,0,NULL,0,"","2013-01-28 07:28:09.924","2013-01-28 07:28:09.924","5-56-20110713",5,"2011-07-13 09:30:00"
2458,NULL,NULL,"11","2011-07-04 08:05:00",59,0,0,NULL,0,"","2013-01-28 08:13:58.839","2013-01-28 08:13:58.839","5-11-20110704",5,"2011-07-04 09:50:00"
2459,NULL,NULL,"13","2011-07-04 07:20:00",58,0,0,NULL,0,"","2013-01-28 08:27:30.087","2013-01-28 08:27:30.087","5-13-20110704",5,"2011-07-04 09:30:00"
2460,NULL,NULL,"12","2011-07-08 07:15:00",58,0,0,NULL,0,"","2013-01-28 08:46:22.153","2013-01-28 08:46:22.153","5-12-20110708",5,"2011-07-08 08:30:00"
2461,NULL,NULL,"10","2011-07-29 08:45:00",75,54,0,NULL,0,"","2013-01-28 08:56:09.615","2013-01-28 08:56:09.615","5-10-20110729",5,"2011-07-29 10:50:00"
2462,NULL,NULL,"11","2011-07-14 07:50:00",57,0,0,NULL,0,"","2013-01-28 09:34:10.173","2013-01-28 09:34:10.173","5-11-20110714",5,"2011-07-14 09:35:00"
2463,NULL,NULL,"4","2011-07-26 08:45:00",75,54,0,NULL,0,"","2013-01-28 09:53:02.787","2013-01-28 09:53:02.787","5-4-20110726",5,"2011-07-26 10:35:00"
2464,NULL,NULL,"57","2011-07-25 08:35:00",56,0,0,NULL,0,"","2013-01-28 09:59:00.029","2013-01-28 09:59:00.029","5-57-20110725",5,"2011-07-25 10:55:00"
2465,NULL,NULL,"2","2011-07-08 07:30:00",60,0,0,NULL,0,"","2013-01-28 10:56:53.567","2013-01-28 10:56:53.567","5-2-20110708",5,"2011-07-08 09:45:00"
2466,NULL,NULL,"5","2011-07-05 07:30:00",57,0,0,NULL,0,"","2013-01-28 11:25:35.056","2013-01-28 11:25:35.056","5-5-20110705",5,"2011-07-05 09:40:00"
