"idesp","id","nombre_cientifico","created_at","updated_at","ent_pk","imagen","dicc_ecologia_id","dicc_biogeovoou_id","dicc_biogeosimple_id","dicc_estatussn_id","dicc_ecologiatrofica_id","ent_pk_padre","autor","nombre_comun","nivel","audio","idprotocolo"
15990,16297,"Centaurium erythraea subsp. spicatum","2011-05-16 13:49:20.04862","2011-05-16 13:49:20.04862",9219,NULL,NULL,NULL,NULL,NULL,NULL,9214,NULL,NULL,10,NULL,NULL
15991,16298,"Centaurium erythraea subsp. suffruticosum","2011-05-16 13:49:20.060691","2011-05-16 13:49:20.060691",9229,NULL,NULL,NULL,NULL,NULL,NULL,9214,NULL,NULL,10,NULL,NULL
15992,16299,"Centaurium favargeri","2011-05-16 13:49:20.072751","2011-05-16 13:49:20.072751",9220,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
15993,16300,"Centaurium maritimum","2011-05-16 13:49:20.08476","2011-05-16 13:49:20.08476",9221,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
15994,16301,"Centaurium pulchellum","2011-05-16 13:49:20.09676","2011-05-16 13:49:20.09676",9222,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
15995,16302,"Centaurium quadrifolium","2011-05-16 13:49:20.108745","2011-05-16 13:49:20.108745",9223,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
15996,16303,"Centaurium quadrifolium subsp. barrelieri","2011-05-16 13:49:20.194419","2011-05-16 13:49:20.194419",9224,NULL,NULL,NULL,NULL,NULL,NULL,9223,NULL,NULL,10,NULL,NULL
15997,16304,"Centaurium quadrifolium subsp. linariifolium","2011-05-16 13:49:20.206837","2011-05-16 13:49:20.206837",104893,NULL,NULL,NULL,NULL,NULL,NULL,9223,NULL,NULL,10,NULL,NULL
15998,16305,"Centaurium rigualii","2011-05-16 13:49:20.219141","2011-05-16 13:49:20.219141",9225,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
15999,16306,"Centaurium scilloides","2011-05-16 13:49:20.231417","2011-05-16 13:49:20.231417",9226,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
16000,16307,"Centaurium somedanum","2011-05-16 13:49:20.243898","2011-05-16 13:49:20.243898",9227,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
16001,16308,"Centaurium spicatum","2011-05-16 13:49:20.256131","2011-05-16 13:49:20.256131",9228,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
16002,16309,"Centaurium tenuiflorum","2011-05-16 13:49:20.268352","2011-05-16 13:49:20.268352",9230,NULL,NULL,NULL,NULL,NULL,NULL,9213,NULL,NULL,9,NULL,NULL
16003,16310,"Centaurium tenuiflorum subsp. acutiflorum","2011-05-16 13:49:20.280654","2011-05-16 13:49:20.280654",9231,NULL,NULL,NULL,NULL,NULL,NULL,9230,NULL,NULL,10,NULL,NULL
