"transect_id","transect_nombre","cult_id","loc","cultivo","replicate","distance"
212,"A015",2,"CANAR","CULT_2","R2",18552.2210043334
198,"A016",1,"CANAR","CULT_1","R1",19565.5792169957
198,"A016",5,"SANJUAN","CULT_1","R1",837.031758678396
198,"A016",4,"SANJUAN","CULT_2","R2",80.8953639040309
198,"A016",2,"CANAR","CULT_2","R2",18481.2043485369
198,"A016",3,"CANAR","CULT_3","R3",18087.2402370104
195,"A017",1,"CANAR","CULT_1","R1",19428.7883978911
195,"A017",3,"CANAR","CULT_3","R3",17959.8530071279
195,"A017",2,"CANAR","CULT_2","R2",18354.4873500375
195,"A017",4,"SANJUAN","CULT_2","R2",24.8347953297198
195,"A017",5,"SANJUAN","CULT_1","R1",653.228098722084
193,"A018",1,"CANAR","CULT_1","R1",19491.7290665439
193,"A018",5,"SANJUAN","CULT_1","R1",833.486825980031
193,"A018",4,"SANJUAN","CULT_2","R2",48.680856079523
193,"A018",2,"CANAR","CULT_2","R2",18407.6032018912
193,"A018",3,"CANAR","CULT_3","R3",18013.61591512
194,"A019",5,"SANJUAN","CULT_1","R1",798.826324483313
194,"A019",1,"CANAR","CULT_1","R1",19786.3283625581
194,"A019",3,"CANAR","CULT_3","R3",18311.6072087536
194,"A019",2,"CANAR","CULT_2","R2",18705.8118500933
194,"A019",4,"SANJUAN","CULT_2","R2",41.6764259783399
224,"A024",3,"CANAR","CULT_3","R3",18077.3288334202
224,"A024",2,"CANAR","CULT_2","R2",18472.2126449031
224,"A024",4,"SANJUAN","CULT_2","R2",799.433297241736
224,"A024",5,"SANJUAN","CULT_1","R1",27.7676376515156
224,"A024",1,"CANAR","CULT_1","R1",19503.1367636959
208,"A026",5,"SANJUAN","CULT_1","R1",587.146546701107
208,"A026",4,"SANJUAN","CULT_2","R2",32.6803460398551
208,"A026",2,"CANAR","CULT_2","R2",18372.6650602896
208,"A026",3,"CANAR","CULT_3","R3",17977.8227184503
208,"A026",1,"CANAR","CULT_1","R1",19443.5903873263
209,"A027",2,"CANAR","CULT_2","R2",18464.4495923901
209,"A027",4,"SANJUAN","CULT_2","R2",31.2940899447392
209,"A027",5,"SANJUAN","CULT_1","R1",563.14686569467
209,"A027",1,"CANAR","CULT_1","R1",19534.5817685469
209,"A027",3,"CANAR","CULT_3","R3",18069.5661119051
206,"A028",1,"CANAR","CULT_1","R1",19641.9304255542
206,"A028",5,"SANJUAN","CULT_1","R1",592.900231297129
206,"A028",4,"SANJUAN","CULT_2","R2",73.9746376925509
206,"A028",2,"CANAR","CULT_2","R2",18570.644335591
206,"A028",3,"CANAR","CULT_3","R3",18175.8397671707
205,"A029",2,"CANAR","CULT_2","R2",18638.5554071903
205,"A029",4,"SANJUAN","CULT_2","R2",89.6287114724967
205,"A029",5,"SANJUAN","CULT_1","R1",570.883187741727
205,"A029",3,"CANAR","CULT_3","R3",18243.6372583907
205,"A029",1,"CANAR","CULT_1","R1",19707.8931406033
455,"A031",1,"CANAR","CULT_1","R1",19387.5936671984
455,"A031",5,"SANJUAN","CULT_1","R1",141.705836450827
455,"A031",4,"SANJUAN","CULT_2","R2",874.193154381808
455,"A031",2,"CANAR","CULT_2","R2",18359.7603267521
455,"A031",3,"CANAR","CULT_3","R3",17965.4653684288
454,"A032",2,"CANAR","CULT_2","R2",18544.3893418562
454,"A032",4,"SANJUAN","CULT_2","R2",840.431669403031
454,"A032",5,"SANJUAN","CULT_1","R1",27.2860496399905
454,"A032",1,"CANAR","CULT_1","R1",19573.6836739884
454,"A032",3,"CANAR","CULT_3","R3",18149.787427267
453,"A033",2,"CANAR","CULT_2","R2",18661.9051628176
453,"A033",4,"SANJUAN","CULT_2","R2",839.057994590521
453,"A033",5,"SANJUAN","CULT_1","R1",67.9542962279491
453,"A033",1,"CANAR","CULT_1","R1",19692.1774471136
453,"A033",3,"CANAR","CULT_3","R3",18267.1002083864
452,"A034",3,"CANAR","CULT_3","R3",18348.0196514474
452,"A034",4,"SANJUAN","CULT_2","R2",807.896261257733
452,"A034",5,"SANJUAN","CULT_1","R1",71.5955740517499
452,"A034",1,"CANAR","CULT_1","R1",19776.1344845265
452,"A034",2,"CANAR","CULT_2","R2",18743.3058074041
451,"A035",5,"SANJUAN","CULT_1","R1",53.1009406107843
451,"A035",4,"SANJUAN","CULT_2","R2",579.455714379592
451,"A035",2,"CANAR","CULT_2","R2",18394.1346043684
451,"A035",3,"CANAR","CULT_3","R3",17997.6774583144
451,"A035",1,"CANAR","CULT_1","R1",19435.1166351378
447,"A036",5,"SANJUAN","CULT_1","R1",714.140221214586
447,"A036",4,"SANJUAN","CULT_2","R2",28.454064116902
447,"A036",2,"CANAR","CULT_2","R2",18252.3719311295
447,"A036",3,"CANAR","CULT_3","R3",17857.8634265607
447,"A036",1,"CANAR","CULT_1","R1",19328.7899320126
448,"A037",2,"CANAR","CULT_2","R2",18163.2548143378
448,"A037",4,"SANJUAN","CULT_2","R2",113.896518264404
448,"A037",5,"SANJUAN","CULT_1","R1",625.708522674244
448,"A037",1,"CANAR","CULT_1","R1",19232.9038186534
448,"A037",3,"CANAR","CULT_3","R3",17768.3180039576
449,"A038",3,"CANAR","CULT_3","R3",17926.063803188
449,"A038",2,"CANAR","CULT_2","R2",18321.4201183678
449,"A038",4,"SANJUAN","CULT_2","R2",202.877795484314
449,"A038",5,"SANJUAN","CULT_1","R1",440.681552899167
449,"A038",1,"CANAR","CULT_1","R1",19383.7112512646
450,"A039",2,"CANAR","CULT_2","R2",18385.0072748241
450,"A039",1,"CANAR","CULT_1","R1",19442.6334558857
450,"A039",5,"SANJUAN","CULT_1","R1",340.927704294469
450,"A039",4,"SANJUAN","CULT_2","R2",275.323728002015
450,"A039",3,"CANAR","CULT_3","R3",17989.3952942073
446,"A040",3,"CANAR","CULT_3","R3",18391.9849802901
446,"A040",1,"CANAR","CULT_1","R1",19868.5226366494
446,"A040",5,"SANJUAN","CULT_1","R1",860.008970501552
446,"A040",4,"SANJUAN","CULT_2","R2",30.2632267515156
446,"A040",2,"CANAR","CULT_2","R2",18786.0527762562
445,"A041",5,"SANJUAN","CULT_1","R1",1092.57356222996
445,"A041",3,"CANAR","CULT_3","R3",17864.2078514859
445,"A041",2,"CANAR","CULT_2","R2",18257.3119782321
445,"A041",4,"SANJUAN","CULT_2","R2",202.804407625963
445,"A041",1,"CANAR","CULT_1","R1",19354.0190211249
162,"B001",5,"SANJUAN","CULT_1","R1",18009.347146443
162,"B001",3,"CANAR","CULT_3","R3",0.737170106587514
162,"B001",2,"CANAR","CULT_2","R2",375.287696584369
162,"B001",1,"CANAR","CULT_1","R1",1726.61261035129
162,"B001",4,"SANJUAN","CULT_2","R2",17857.303212394
165,"B002",4,"SANJUAN","CULT_2","R2",17907.2330276095
165,"B002",3,"CANAR","CULT_3","R3",2.95580315973231
165,"B002",2,"CANAR","CULT_2","R2",326.534802253876
165,"B002",5,"SANJUAN","CULT_1","R1",18061.7918221704
165,"B002",1,"CANAR","CULT_1","R1",1722.56957168913
167,"B003",1,"CANAR","CULT_1","R1",1621.17383562125
167,"B003",3,"CANAR","CULT_3","R3",3.71672212839082
167,"B003",2,"CANAR","CULT_2","R2",232.59065925826
167,"B003",4,"SANJUAN","CULT_2","R2",17999.2496410672
167,"B003",5,"SANJUAN","CULT_1","R1",18151.864293691
23,"B004",3,"CANAR","CULT_3","R3",1802.48717885311
23,"B004",4,"SANJUAN","CULT_2","R2",19531.202694142
23,"B004",5,"SANJUAN","CULT_1","R1",19644.8375619585
23,"B004",1,"CANAR","CULT_1","R1",7.25539258911121
23,"B004",2,"CANAR","CULT_2","R2",1269.96478027111
24,"B005",3,"CANAR","CULT_3","R3",1701.22945532907
24,"B005",1,"CANAR","CULT_1","R1",10.8917778829015
24,"B005",5,"SANJUAN","CULT_1","R1",19596.1869725036
24,"B005",4,"SANJUAN","CULT_2","R2",19478.4382010107
24,"B005",2,"CANAR","CULT_2","R2",1170.42585223179
22,"B006",2,"CANAR","CULT_2","R2",1174.07311516178
22,"B006",3,"CANAR","CULT_3","R3",1706.38179680447
22,"B006",1,"CANAR","CULT_1","R1",14.8807641931575
22,"B006",5,"SANJUAN","CULT_1","R1",19479.3002268585
22,"B006",4,"SANJUAN","CULT_2","R2",19368.1440169735
171,"B008",1,"CANAR","CULT_1","R1",1311.24081304379
171,"B008",3,"CANAR","CULT_3","R3",299.503665114129
171,"B008",2,"CANAR","CULT_2","R2",7.005648343246
171,"B008",4,"SANJUAN","CULT_2","R2",18281.1121527266
171,"B008",5,"SANJUAN","CULT_1","R1",18427.8598174687
172,"B010",3,"CANAR","CULT_3","R3",492.31089360627
172,"B010",2,"CANAR","CULT_2","R2",1.61431585622497
172,"B010",4,"SANJUAN","CULT_2","R2",18459.9700479891
172,"B010",5,"SANJUAN","CULT_1","R1",18603.6053259446
172,"B010",1,"CANAR","CULT_1","R1",1121.58531671909
169,"B011",5,"SANJUAN","CULT_1","R1",18433.367134562
169,"B011",3,"CANAR","CULT_3","R3",273.898052679958
169,"B011",2,"CANAR","CULT_2","R2",6.31935584454436
169,"B011",4,"SANJUAN","CULT_2","R2",18284.0320364537
169,"B011",1,"CANAR","CULT_1","R1",1346.90181205739
223,"C001",3,"CANAR","CULT_3","R3",18094.3207071131
223,"C001",1,"CANAR","CULT_1","R1",19522.1637011296
223,"C001",2,"CANAR","CULT_2","R2",18489.5207143702
223,"C001",5,"SANJUAN","CULT_1","R1",7.37191094703265
223,"C001",4,"SANJUAN","CULT_2","R2",761.164299300979
225,"C002",2,"CANAR","CULT_2","R2",18368.9025040658
225,"C002",1,"CANAR","CULT_1","R1",19404.3410460877
225,"C002",5,"SANJUAN","CULT_1","R1",17.1832243276507
225,"C002",4,"SANJUAN","CULT_2","R2",703.314704856369
225,"C002",3,"CANAR","CULT_3","R3",17973.2214211053
221,"C003",3,"CANAR","CULT_3","R3",18221.3603460813
221,"C003",2,"CANAR","CULT_2","R2",18617.2171783604
221,"C003",4,"SANJUAN","CULT_2","R2",699.436148761259
221,"C003",5,"SANJUAN","CULT_1","R1",5.80783294018922
221,"C003",1,"CANAR","CULT_1","R1",19653.3455836205
207,"C004",5,"SANJUAN","CULT_1","R1",654.876330133833
207,"C004",3,"CANAR","CULT_3","R3",18096.5382578589
207,"C004",1,"CANAR","CULT_1","R1",19566.0412395173
207,"C004",2,"CANAR","CULT_2","R2",18491.1225908649
207,"C004",4,"SANJUAN","CULT_2","R2",4.63635380594585
204,"C006",4,"SANJUAN","CULT_2","R2",1.90582117635795
204,"C006",3,"CANAR","CULT_3","R3",18296.0413719884
