id,altitud,tipo,subtipo,localidad,nombre,especie,altura,eje_mayor,eje_menor,diametro_base,porcentaje_herbivoria,origen,edad,cesped,tipo_individuo,edad_interpolada,tree_class,tree_type,size_category,crop_code
25624,1640,CLARO,CL1,SANJUAN,A001,roble,165,120,110,5.5,50,semilla,NA,f,ADULTO,34,sapling_large,juvenile,size500,SJ1
25626,1640,CLARO,CL1,SANJUAN,A001,roble,170,100,50,4,25,semilla,NA,f,ADULTO,35,sapling_large,juvenile,size500,SJ1
25625,1640,CLARO,CL1,SANJUAN,A001,roble,180,110,90,7,5,semilla,NA,f,ADULTO,37,sapling_large,juvenile,size500,SJ1
25628,1640,CLARO,CL1,SANJUAN,A001,roble,70,90,90,1.5,5,semilla,NA,f,JUVENIL,15,seedling_large,juvenile,size90,SJ1
25627,1640,CLARO,CL1,SANJUAN,A001,roble,70,110,70,1.5,5,semilla,NA,f,JUVENIL,15,seedling_large,juvenile,size90,SJ1
25623,1612,CLARO,CL1,SANJUAN,A002,roble,110,1000,300,0,NA,rebrote,NA,t,ADULTO,23,seedling_large,juvenile,size120,SJ1
25622,1612,CLARO,CL1,SANJUAN,A002,roble,350,NA,NA,7,NA,semilla,NA,f,ADULTO,72,sapling_large,juvenile,size500,SJ1
25618,1612,CLARO,CL1,SANJUAN,A002,roble,700,NA,NA,35,NA,semilla,NA,f,ADULTO,144,tree_large,adult,size750,SJ1
25621,1612,CLARO,CL1,SANJUAN,A002,roble,700,NA,NA,28,NA,semilla,NA,f,ADULTO,144,tree_large,adult,size750,SJ1
25619,1612,CLARO,CL1,SANJUAN,A002,roble,750,NA,NA,36,NA,semilla,NA,f,ADULTO,154,tree_large,adult,size750,SJ1
25620,1612,CLARO,CL1,SANJUAN,A002,roble,800,NA,NA,32,NA,semilla,NA,f,ADULTO,165,tree_large,adult,size1000,SJ1
25617,1612,CLARO,CL1,SANJUAN,A002,roble,900,NA,NA,63,NA,semilla,NA,f,ADULTO,185,tree_large,adult,size1000,SJ1
25615,1607,CLARO,CL1,SANJUAN,A003,roble,250,NA,NA,4.5,NA,semilla,NA,f,ADULTO,52,sapling_large,juvenile,size500,SJ1
25614,1607,CLARO,CL1,SANJUAN,A003,roble,290,NA,NA,7,NA,semilla,NA,f,ADULTO,60,sapling_large,juvenile,size500,SJ1
25616,1607,CLARO,CL1,SANJUAN,A003,roble,35,44,38,0,NA,semilla,NA,f,JUVENIL,8,seedling_large,juvenile,size60,SJ1
23116,1588,CLARO,CL1,SANJUAN,A004,roble,140,120,110,2.5,80,semilla,NA,f,ADULTO,29,sapling_large,juvenile,size150,SJ1
23115,1588,CLARO,CL1,SANJUAN,A004,roble,300,NA,NA,16,NA,semilla,NA,f,ADULTO,62,tree_medium,adult,size500,SJ1
25629,1649,CLARO,CL1,SANJUAN,A005,roble,250,140,120,8,NA,semilla,NA,f,ADULTO,52,tree_small,adult,size500,SJ1
23120,1612,CLARO,CL1,SANJUAN,A006,roble,250,NA,NA,8,NA,semilla,NA,f,ADULTO,52,tree_small,adult,size500,SJ1
23118,1612,CLARO,CL1,SANJUAN,A006,roble,250,NA,NA,14,NA,semilla,NA,f,ADULTO,52,tree_medium,adult,size500,SJ1
23121,1612,CLARO,CL1,SANJUAN,A006,roble,250,NA,NA,8,NA,semilla,NA,f,ADULTO,52,tree_small,adult,size500,SJ1
23122,1612,CLARO,CL1,SANJUAN,A006,roble,270,NA,NA,9,NA,semilla,NA,f,ADULTO,56,tree_small,adult,size500,SJ1
23117,1612,CLARO,CL1,SANJUAN,A006,roble,350,NA,NA,13,NA,semilla,NA,f,ADULTO,72,tree_medium,adult,size500,SJ1
23119,1612,CLARO,CL1,SANJUAN,A006,roble,450,NA,NA,17,NA,semilla,NA,f,ADULTO,93,tree_medium,adult,size500,SJ1
23123,1612,CLARO,CL1,SANJUAN,A006,roble,50,110,45,0,5,rebrote,NA,t,JUVENIL,11,seedling_large,juvenile,size60,SJ1
23124,1612,CLARO,CL1,SANJUAN,A006,roble,90,250,240,0,NA,rebrote,NA,t,JUVENIL,19,seedling_large,juvenile,size90,SJ1
23130,1684,CLARO,CL2,SANJUAN,A008,roble,137,106,87,6,5,semilla,NA,f,ADULTO,29,sapling_large,juvenile,size150,SJ2
23133,1684,CLARO,CL2,SANJUAN,A008,roble,166,155,113,3.5,5,semilla,NA,f,ADULTO,35,sapling_large,juvenile,size500,SJ2
23125,1684,CLARO,CL2,SANJUAN,A008,roble,176,149,110,4.5,5,semilla,NA,f,ADULTO,37,sapling_large,juvenile,size500,SJ2
23126,1684,CLARO,CL2,SANJUAN,A008,roble,189,141,135,4.5,5,semilla,NA,f,ADULTO,39,sapling_large,juvenile,size500,SJ2
23132,1684,CLARO,CL2,SANJUAN,A008,roble,200,143,131,5,5,semilla,NA,f,ADULTO,42,sapling_large,juvenile,size500,SJ2
23127,1684,CLARO,CL2,SANJUAN,A008,roble,23,23,18,0.8,5,semilla,NA,f,JUVENIL,5,seedling_small,juvenile,size30,SJ2
23129,1684,CLARO,CL2,SANJUAN,A008,roble,50,40,30,1.5,5,semilla,NA,f,JUVENIL,11,seedling_large,juvenile,size60,SJ2
23128,1684,CLARO,CL2,SANJUAN,A008,roble,70,65,40,2,5,semilla,NA,f,JUVENIL,15,seedling_large,juvenile,size90,SJ2
23131,1684,CLARO,CL2,SANJUAN,A008,roble,80,78,78,3,10,semilla,NA,f,JUVENIL,17,sapling_large,juvenile,size90,SJ2
23134,1684,CLARO,CL2,SANJUAN,A008,roble,87,76,73,2.5,5,semilla,NA,f,JUVENIL,18,sapling_large,juvenile,size90,SJ2
25612,1693,CLARO,CL2,SANJUAN,A011,roble,227,166,145,9,5,semilla,NA,f,ADULTO,47,tree_small,adult,size500,SJ2
25613,1693,CLARO,CL2,SANJUAN,A011,roble,23,45,35,0,5,semilla,NA,f,JUVENIL,5,seedling_small,juvenile,size30,SJ2
25608,1681,CLARO,CL2,SANJUAN,A017,roble,111,124,96,3,10,semilla,NA,f,ADULTO,23,sapling_large,juvenile,size120,SJ2
25601,1681,CLARO,CL2,SANJUAN,A017,roble,126,102,56,6,10,semilla,NA,f,ADULTO,26,sapling_large,juvenile,size150,SJ2
25602,1681,CLARO,CL2,SANJUAN,A017,roble,19.4,27,23,0,5,semilla,NA,f,JUVENIL,5,seedling_small,juvenile,size30,SJ2
25605,1681,CLARO,CL2,SANJUAN,A017,roble,24,61,60,0,10,semilla,NA,f,JUVENIL,6,seedling_small,juvenile,size30,SJ2
25603,1681,CLARO,CL2,SANJUAN,A017,roble,30,50,33,0,20,semilla,NA,f,JUVENIL,7,seedling_large,juvenile,size30,SJ2
25607,1681,CLARO,CL2,SANJUAN,A017,roble,35,35,35,0,10,semilla,NA,f,JUVENIL,8,seedling_large,juvenile,size60,SJ2
25604,1681,CLARO,CL2,SANJUAN,A017,roble,37,30,29,0,NA,semilla,NA,f,JUVENIL,8,seedling_large,juvenile,size60,SJ2
25609,1681,CLARO,CL2,SANJUAN,A017,roble,39,84,83,2,10,semilla,NA,f,JUVENIL,9,seedling_large,juvenile,size60,SJ2
25606,1681,CLARO,CL2,SANJUAN,A017,roble,72,78,68,1.7,10,semilla,NA,f,JUVENIL,15,seedling_large,juvenile,size90,SJ2
22815,1720,CLARO,CL2,SANJUAN,A018,roble,15,25,20,0,10,semilla,NA,f,JUVENIL,4,seedling_small,juvenile,size30,SJ2
22816,1720,CLARO,CL2,SANJUAN,A018,roble,7,NA,NA,0,NA,semilla,NA,f,JUVENIL,2,seedling_small,juvenile,size30,SJ2
25610,1660,CLARO,CL2,SANJUAN,A019,roble,130,1,0.53,4,30,semilla,NA,f,ADULTO,27,sapling_large,juvenile,size150,SJ2
25611,1660,CLARO,CL2,SANJUAN,A019,roble,80,90,73,2.5,10,semilla,NA,f,JUVENIL,17,sapling_large,juvenile,size90,SJ2
25658,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,120,500,300,0,NA,rebrote,NA,t,ADULTO,25,seedling_large,juvenile,size120,SJ1
25651,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,150,NA,NA,2.1,NA,semilla,NA,f,ADULTO,31,sapling_small,juvenile,size150,SJ1
25656,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,150,300,200,0,NA,rebrote,NA,t,ADULTO,31,sapling_small,juvenile,size150,SJ1
25659,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,150,250,200,0,NA,rebrote,NA,t,ADULTO,31,sapling_small,juvenile,size150,SJ1
25641,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,160,NA,NA,2,NA,semilla,NA,f,ADULTO,33,sapling_small,juvenile,size500,SJ1
25635,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,170,NA,NA,2.5,NA,semilla,NA,f,ADULTO,35,sapling_large,juvenile,size500,SJ1
25637,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,200,NA,NA,3.5,NA,semilla,NA,f,ADULTO,42,sapling_large,juvenile,size500,SJ1
25636,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,300,NA,NA,7,NA,semilla,NA,f,ADULTO,62,sapling_large,juvenile,size500,SJ1
25630,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,400,NA,NA,12,NA,semilla,NA,f,ADULTO,83,tree_small,adult,size500,SJ1
25631,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,400,NA,NA,18,NA,semilla,NA,f,ADULTO,83,tree_medium,adult,size500,SJ1
25633,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,450,NA,NA,9,NA,semilla,NA,f,ADULTO,93,tree_small,adult,size500,SJ1
25638,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,450,NA,NA,28,NA,semilla,NA,f,ADULTO,93,tree_large,adult,size500,SJ1
25632,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,450,NA,NA,11,NA,semilla,NA,f,ADULTO,93,tree_small,adult,size500,SJ1
25634,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,500,NA,NA,13,NA,semilla,NA,f,ADULTO,103,tree_medium,adult,size500,SJ1
25639,1629,ROBLEDAL,ROBLEDAL,SANJUAN,A024,roble,500,NA,NA,30,NA,semilla,NA,f,ADULTO,103,tree_large,adult,size500,SJ1
