crop_code,localidad,nombre,per_qp,abundance,ab_juvenile,ab_adult,tree_height_max,tree_height_mean,tree_height_median,tree_height_q75,tree_height_q90,ba
CA1,CANAR,P028,96.55,966.67,266.6666666666667,666.6666666666666,12,4.501428571428572,4.55,6,7.65,25.95479130640767
CA1,CANAR,P030,100,766.67,66.66666666666667,700,12,7.87695652173913,8.5,10.25,11,43.22307892563957
CA1,CANAR,P031,100,1633.33,700,933.3333333333334,10,3.578367346938775,3.4,4.2,6.000000000000007,23.379339828933542
CA1,CANAR,P035,100,500,0,500,14,9.886666666666667,9.5,12,13.6,38.3195763921615
CA2,CANAR,P007,93.1,1933.33,1200,600,11,3.104444444444445,1.23,5.925,8.563,32.52595594016633
CA2,CANAR,P024,91.89,1233.33,800,333.3333333333333,15,3.0002941176470586,0.39,3.625,10.7,18.653206380689397
CA2,CANAR,P027,98.75,2666.67,2200,433.3333333333333,18,1.9744303797468354,0.3,0.48,11,61.939117159400766
CA2,CANAR,P037,96.43,933.33,600,300,16,4.173703703703704,0.42,11,14,28.020388476142962
CA2,CANAR,P038,91.67,2400,2033.3333333333333,166.66666666666666,14,1.2277272727272726,0.38,0.5275,0.925,26.99675286984829
CA2,CANAR,P022,100,600,233.33333333333334,366.6666666666667,18,7.248888888888889,7.75,11.375,14.900000000000002,58.20585788938489
CA2,CANAR,P033,100,1066.67,400,666.6666666666666,13,4.7325,4,6,10.750000000000005,23.41271925087793
CA3,CANAR,P021,96.08,1700,1266.6666666666667,366.6666666666667,14,3.0473469387755103,0.7,2.5,12,60.98878538168985
CA3,CANAR,P023,97.67,2866.67,1800,1000,11,3.235,2,6,8,27.402541920936972
CA3,CANAR,P026,97.83,3066.67,1666.6666666666667,1333.3333333333333,14,4.394333333333333,4.5,5.5,8,27.865926837341462
CA3,CANAR,P034,81.71,2733.33,1833.3333333333333,400,17,2.8397014925373134,0.3,0.53,14,66.47348255608203
SJ1,SANJUAN,A024,100,1000,300,700,9.5,5.23,5,8,9,36.94751198064493
SJ1,SANJUAN,A031,100,766.67,500,266.6666666666667,16,5.043478260869565,3,9,12.4,10.07665843638926
SJ1,SANJUAN,A032,100,2033.33,1100,933.3333333333334,16,5.855737704918033,5,7,12,29.991737866270554
SJ1,SANJUAN,A033,100,2366.67,1600,766.6666666666666,15,4.1845070422535215,2.5,5.5,8.5,21.731967181207395
SJ1,SANJUAN,A034,100,1566.67,866.6666666666666,700,15,4.932978723404256,3,8.25,12,20.721421544302675
SJ1,SANJUAN,A035,100,1666.67,1066.6666666666667,600,17,4.8056,1.675,9,13,32.58093381160414
SJ2,SANJUAN,A026,100,433.33,66.66666666666667,366.6666666666667,12,8.538461538461538,9,11,11.8,44.95095488511396
SJ2,SANJUAN,A027,100,1666.67,666.6666666666666,1000,11,5.3892,6,9,10,51.03027700901435
SJ2,SANJUAN,A028,100,1133.33,233.33333333333334,900,13,6.675882352941176,8,9.375,10.7,44.992816607223034
SJ2,SANJUAN,A029,100,1000,433.3333333333333,566.6666666666666,13,5.521333333333334,6.5,9,12,43.56951805551418
SJ2,SANJUAN,A036,100,1833.33,933.3333333333334,900,17,6.551636363636363,1.6,13,15,57.80006883829621
SJ2,SANJUAN,A037,100,1466.67,966.6666666666666,500,17,4.4165909090909095,1.1,8.75,13.350000000000001,27.829274923049585
SJ2,SANJUAN,A038,100,1833.33,1333.3333333333333,500,10,2.889090909090909,1.2,4,9.3,19.024961511364186
SJ2,SANJUAN,A039,100,1366.67,733.3333333333334,633.3333333333334,9.5,3.1792682926829268,1.4,5.5,7.5,17.069320084504543
SJ2,SANJUAN,A040,100,2333.33,1666.6666666666667,666.6666666666666,12,2.7510000000000003,0.9,5.25,9,25.614452102268782
SJ2,SANJUAN,A041,100,2933.33,1666.6666666666667,1266.6666666666667,17,5.398409090909091,1.2,11,14,53.320681313052766
