id,nombre,fecha,tipo,altitud,localidad,subtipo,replicate,crop_code
22,B006,03/11/12,CLARO_BORDE,1835,CANAR,CLARO1,R1,CA1
162,B001,23/10/12,CLARO_BORDE,1889,CANAR,CLARO3,R3,CA3
167,B003,10/09/12,CLARO_BORDE,1874,CANAR,CLARO3,R3,CA3
239,P004,12/11/12,CLARO,1838,CANAR,CLARO2,R2,CA2
241,P012,12/11/12,CLARO,1853,CANAR,CLARO2,R2,CA2
236,P028,12/11/12,ROBLEDAL,1845,CANAR,ROBLEDAL,R1,CA1
238,P017,12/11/12,CLARO,1823,CANAR,CLARO2,R2,CA2
232,P010,12/11/12,CLARO,1798,CANAR,CLARO1,R1,CA1
230,P009,12/11/12,CLARO,1809,CANAR,CLARO1,R1,CA1
234,P031,12/11/12,ROBLEDAL,1815,CANAR,ROBLEDAL,R1,CA1
24,B005,03/10/12,CLARO_BORDE,1800,CANAR,CLARO1,R1,CA1
169,B011,10/09/12,CLARO_BORDE,1842,CANAR,CLARO2,R2,CA2
227,P002,12/11/12,CLARO,1805,CANAR,CLARO1,R1,CA1
231,P008,12/11/12,CLARO,1807,CANAR,CLARO1,R1,CA1
266,P037,10/09/12,ROBLEDAL,1806,CANAR,ROBLEDAL,R2,CA2
272,P014,10/09/12,CLARO,1845,CANAR,CLARO2,R2,CA2
267,P007,10/09/12,ROBLEDAL,1793,CANAR,ROBLEDAL,R2,CA2
229,P003,12/11/12,CLARO,1830,CANAR,CLARO1,R1,CA1
228,P001,12/11/12,CLARO,1811,CANAR,CLARO1,R1,CA1
243,P027,10/09/12,ROBLEDAL,1849,CANAR,ROBLEDAL,R2,CA2
292,P005,10/09/12,CLARO,1878,CANAR,CLARO3,R3,CA3
290,P006,10/09/12,CLARO,1874,CANAR,CLARO3,R3,CA3
293,P020,10/09/12,CLARO,1889,CANAR,CLARO3,R3,CA3
287,P024,10/09/12,ROBLEDAL,1858,CANAR,ROBLEDAL,R2,CA2
291,P034,10/09/12,ROBLEDAL,1851,CANAR,ROBLEDAL,R3,CA3
265,P013,10/09/12,CLARO,1804,CANAR,CLARO2,R2,CA2
242,P016,12/11/12,CLARO,1824,CANAR,CLARO2,R2,CA2
270,P015,10/09/12,CLARO,1832,CANAR,CLARO2,R2,CA2
240,P018,12/11/12,CLARO,1840,CANAR,CLARO2,R2,CA2
237,P011,12/11/12,CLARO,1817,CANAR,CLARO2,R2,CA2
268,P038,10/09/12,ROBLEDAL,1789,CANAR,ROBLEDAL,R2,CA2
264,P033,10/09/12,ROBLEDAL,1843,CANAR,ROBLEDAL,R2,CA2
235,P030,12/11/12,ROBLEDAL,1866,CANAR,ROBLEDAL,R1,CA1
233,P035,12/11/12,ROBLEDAL,1796,CANAR,ROBLEDAL,R1,CA1
