tree_class,nombre,especie,localidad,crop_code,tipo,n
seedling_large,A001,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
seedling_large,A002,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
seedling_large,A003,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
seedling_large,A006,roble,SANJUAN,SJ1,CLARO,0.6666666666666666
seedling_large,A008,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_large,A017,roble,SANJUAN,SJ2,CLARO,1.6666666666666667
seedling_large,A024,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
seedling_large,A027,roble,SANJUAN,SJ2,ROBLEDAL,3
seedling_large,A028,roble,SANJUAN,SJ2,ROBLEDAL,1.6666666666666667
seedling_large,A029,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
seedling_large,A031,roble,SANJUAN,SJ1,ROBLEDAL,2.6666666666666665
seedling_large,A032,roble,SANJUAN,SJ1,ROBLEDAL,1.6666666666666667
seedling_large,A033,roble,SANJUAN,SJ1,ROBLEDAL,3.3333333333333335
seedling_large,A034,roble,SANJUAN,SJ1,ROBLEDAL,3
seedling_large,A035,roble,SANJUAN,SJ1,ROBLEDAL,5.666666666666667
seedling_large,A036,roble,SANJUAN,SJ2,ROBLEDAL,8
seedling_large,A037,roble,SANJUAN,SJ2,ROBLEDAL,8.333333333333334
seedling_large,A038,roble,SANJUAN,SJ2,ROBLEDAL,9.666666666666666
seedling_large,A039,roble,SANJUAN,SJ2,ROBLEDAL,6.333333333333333
seedling_large,A040,roble,SANJUAN,SJ2,ROBLEDAL,13
seedling_large,A041,roble,SANJUAN,SJ2,ROBLEDAL,16
seedling_large,B001,encina,CANAR,CA3,CLARO_BORDE,1
seedling_large,B001,roble,CANAR,CA3,CLARO_BORDE,4.666666666666667
seedling_large,B002,encina,CANAR,CA3,CLARO_BORDE,0.6666666666666666
seedling_large,B002,roble,CANAR,CA3,CLARO_BORDE,3
seedling_large,B003,encina,CANAR,CA3,CLARO_BORDE,1.6666666666666667
seedling_large,B003,roble,CANAR,CA3,CLARO_BORDE,7.666666666666667
seedling_large,B004,encina,CANAR,CA1,CLARO_BORDE,1.6666666666666667
seedling_large,B004,roble,CANAR,CA1,CLARO_BORDE,9.666666666666666
seedling_large,B005,encina,CANAR,CA1,CLARO_BORDE,0.6666666666666666
seedling_large,B005,roble,CANAR,CA1,CLARO_BORDE,7
seedling_large,B006,encina,CANAR,CA1,CLARO_BORDE,2.6666666666666665
seedling_large,B006,roble,CANAR,CA1,CLARO_BORDE,5.666666666666667
seedling_large,B008,encina,CANAR,CA2,CLARO_BORDE,1
seedling_large,B008,roble,CANAR,CA2,CLARO_BORDE,3.3333333333333335
seedling_large,B010,roble,CANAR,CA2,CLARO_BORDE,4.333333333333333
seedling_large,B011,encina,CANAR,CA2,CLARO_BORDE,0.3333333333333333
seedling_large,B011,roble,CANAR,CA2,CLARO_BORDE,3
seedling_large,C001,roble,SANJUAN,SJ1,CLARO_BORDE,2.6666666666666665
seedling_large,C002,roble,SANJUAN,SJ1,CLARO_BORDE,1.3333333333333333
seedling_large,C003,roble,SANJUAN,SJ1,CLARO_BORDE,1.6666666666666667
seedling_large,C004,roble,SANJUAN,SJ2,CLARO_BORDE,1.3333333333333333
seedling_large,C006,roble,SANJUAN,SJ2,CLARO_BORDE,2
seedling_large,C010,roble,SANJUAN,SJ2,CLARO_BORDE,1.6666666666666667
seedling_large,P001,encina,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P001,roble,CANAR,CA1,CLARO,2.3333333333333335
seedling_large,P002,encina,CANAR,CA1,CLARO,0.6666666666666666
seedling_large,P002,roble,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P003,encina,CANAR,CA1,CLARO,3.3333333333333335
seedling_large,P003,roble,CANAR,CA1,CLARO,4.666666666666667
seedling_large,P004,encina,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P005,pino,CANAR,CA3,CLARO,0.3333333333333333
seedling_large,P005,roble,CANAR,CA3,CLARO,1.3333333333333333
seedling_large,P006,pino,CANAR,CA3,CLARO,0.6666666666666666
seedling_large,P007,roble,CANAR,CA2,ROBLEDAL,4
seedling_large,P008,encina,CANAR,CA1,CLARO,1
seedling_large,P008,roble,CANAR,CA1,CLARO,2.3333333333333335
seedling_large,P009,encina,CANAR,CA1,CLARO,1
seedling_large,P009,roble,CANAR,CA1,CLARO,6.333333333333333
seedling_large,P010,encina,CANAR,CA1,CLARO,1.3333333333333333
seedling_large,P010,roble,CANAR,CA1,CLARO,2
seedling_large,P011,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P012,encina,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P012,roble,CANAR,CA2,CLARO,0.6666666666666666
seedling_large,P013,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P015,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P016,roble,CANAR,CA2,CLARO,0.6666666666666666
seedling_large,P017,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_large,P018,roble,CANAR,CA2,CLARO,1
seedling_large,P020,encina,CANAR,CA3,CLARO,0.6666666666666666
seedling_large,P020,roble,CANAR,CA3,CLARO,5.333333333333333
seedling_large,P021,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_large,P021,roble,CANAR,CA3,ROBLEDAL,5.333333333333333
seedling_large,P022,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
seedling_large,P023,encina,CANAR,CA3,ROBLEDAL,0.6666666666666666
seedling_large,P023,roble,CANAR,CA3,ROBLEDAL,7
seedling_large,P024,encina,CANAR,CA2,ROBLEDAL,0.6666666666666666
seedling_large,P024,roble,CANAR,CA2,ROBLEDAL,3
seedling_large,P026,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_large,P026,roble,CANAR,CA3,ROBLEDAL,3.3333333333333335
seedling_large,P027,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_large,P027,roble,CANAR,CA2,ROBLEDAL,9.333333333333334
seedling_large,P028,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
seedling_large,P031,roble,CANAR,CA1,ROBLEDAL,0.3333333333333333
seedling_large,P033,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
seedling_large,P034,encina,CANAR,CA3,ROBLEDAL,1.3333333333333333
seedling_large,P034,roble,CANAR,CA3,ROBLEDAL,8.666666666666666
seedling_large,P037,roble,CANAR,CA2,ROBLEDAL,2.3333333333333335
seedling_large,P038,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_large,P038,roble,CANAR,CA2,ROBLEDAL,12.333333333333334
seedling_small,A008,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
seedling_small,A011,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
seedling_small,A017,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_small,A018,roble,SANJUAN,SJ2,CLARO,0.6666666666666666
seedling_small,A029,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
seedling_small,A036,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
seedling_small,A037,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
seedling_small,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
seedling_small,A040,roble,SANJUAN,SJ2,ROBLEDAL,1
seedling_small,B001,roble,CANAR,CA3,CLARO_BORDE,1.3333333333333333
seedling_small,B002,encina,CANAR,CA3,CLARO_BORDE,0.6666666666666666
seedling_small,B002,roble,CANAR,CA3,CLARO_BORDE,0.3333333333333333
seedling_small,B003,encina,CANAR,CA3,CLARO_BORDE,0.3333333333333333
seedling_small,B003,roble,CANAR,CA3,CLARO_BORDE,2.6666666666666665
seedling_small,B004,encina,CANAR,CA1,CLARO_BORDE,3.6666666666666665
seedling_small,B004,roble,CANAR,CA1,CLARO_BORDE,1.6666666666666667
seedling_small,B005,encina,CANAR,CA1,CLARO_BORDE,2.3333333333333335
seedling_small,B005,roble,CANAR,CA1,CLARO_BORDE,7
seedling_small,B006,encina,CANAR,CA1,CLARO_BORDE,2.6666666666666665
seedling_small,B006,roble,CANAR,CA1,CLARO_BORDE,1
seedling_small,B008,encina,CANAR,CA2,CLARO_BORDE,0.3333333333333333
seedling_small,B008,roble,CANAR,CA2,CLARO_BORDE,0.3333333333333333
seedling_small,B011,roble,CANAR,CA2,CLARO_BORDE,0.3333333333333333
seedling_small,C010,roble,SANJUAN,SJ2,CLARO_BORDE,0.6666666666666666
seedling_small,P001,encina,CANAR,CA1,CLARO,0.6666666666666666
seedling_small,P001,roble,CANAR,CA1,CLARO,0.6666666666666666
seedling_small,P002,encina,CANAR,CA1,CLARO,0.6666666666666666
seedling_small,P002,roble,CANAR,CA1,CLARO,0.3333333333333333
seedling_small,P003,encina,CANAR,CA1,CLARO,2.3333333333333335
seedling_small,P003,roble,CANAR,CA1,CLARO,2
seedling_small,P005,encina,CANAR,CA3,CLARO,0.3333333333333333
seedling_small,P005,roble,CANAR,CA3,CLARO,1.6666666666666667
seedling_small,P006,pino,CANAR,CA3,CLARO,0.3333333333333333
seedling_small,P006,roble,CANAR,CA3,CLARO,1.6666666666666667
seedling_small,P007,encina,CANAR,CA2,ROBLEDAL,1.3333333333333333
seedling_small,P007,roble,CANAR,CA2,ROBLEDAL,5
seedling_small,P008,encina,CANAR,CA1,CLARO,0.6666666666666666
seedling_small,P008,roble,CANAR,CA1,CLARO,0.3333333333333333
seedling_small,P009,encina,CANAR,CA1,CLARO,2
seedling_small,P009,roble,CANAR,CA1,CLARO,3.3333333333333335
seedling_small,P010,encina,CANAR,CA1,CLARO,3.3333333333333335
seedling_small,P010,roble,CANAR,CA1,CLARO,1.3333333333333333
seedling_small,P011,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_small,P012,encina,CANAR,CA2,CLARO,0.3333333333333333
seedling_small,P012,roble,CANAR,CA2,CLARO,2.3333333333333335
seedling_small,P014,roble,CANAR,CA2,CLARO,0.3333333333333333
seedling_small,P016,roble,CANAR,CA2,CLARO,1
seedling_small,P017,roble,CANAR,CA2,CLARO,0.6666666666666666
seedling_small,P020,encina,CANAR,CA3,CLARO,0.3333333333333333
seedling_small,P020,roble,CANAR,CA3,CLARO,4.666666666666667
seedling_small,P021,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_small,P021,roble,CANAR,CA3,ROBLEDAL,4.333333333333333
seedling_small,P022,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
seedling_small,P023,roble,CANAR,CA3,ROBLEDAL,3.3333333333333335
seedling_small,P024,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_small,P024,roble,CANAR,CA2,ROBLEDAL,3.6666666666666665
seedling_small,P026,encina,CANAR,CA3,ROBLEDAL,0.3333333333333333
seedling_small,P026,roble,CANAR,CA3,ROBLEDAL,1.6666666666666667
seedling_small,P027,roble,CANAR,CA2,ROBLEDAL,12.333333333333334
seedling_small,P028,encina,CANAR,CA1,ROBLEDAL,0.3333333333333333
seedling_small,P034,encina,CANAR,CA3,ROBLEDAL,3.6666666666666665
seedling_small,P034,roble,CANAR,CA3,ROBLEDAL,9.333333333333334
seedling_small,P037,encina,CANAR,CA2,ROBLEDAL,0.3333333333333333
seedling_small,P037,roble,CANAR,CA2,ROBLEDAL,3.3333333333333335
seedling_small,P038,encina,CANAR,CA2,ROBLEDAL,1.3333333333333333
seedling_small,P038,roble,CANAR,CA2,ROBLEDAL,8
tree_large,A002,roble,SANJUAN,SJ1,CLARO,1.6666666666666667
tree_large,A024,roble,SANJUAN,SJ1,ROBLEDAL,5
tree_large,A026,roble,SANJUAN,SJ2,ROBLEDAL,3.6666666666666665
tree_large,A027,roble,SANJUAN,SJ2,ROBLEDAL,6.666666666666667
tree_large,A028,roble,SANJUAN,SJ2,ROBLEDAL,5.333333333333333
tree_large,A029,roble,SANJUAN,SJ2,ROBLEDAL,4.333333333333333
tree_large,A031,roble,SANJUAN,SJ1,ROBLEDAL,1
tree_large,A032,roble,SANJUAN,SJ1,ROBLEDAL,2.3333333333333335
tree_large,A033,roble,SANJUAN,SJ1,ROBLEDAL,2
tree_large,A034,roble,SANJUAN,SJ1,ROBLEDAL,2
tree_large,A035,roble,SANJUAN,SJ1,ROBLEDAL,3.6666666666666665
tree_large,A036,roble,SANJUAN,SJ2,ROBLEDAL,6.333333333333333
tree_large,A037,roble,SANJUAN,SJ2,ROBLEDAL,3.6666666666666665
tree_large,A038,roble,SANJUAN,SJ2,ROBLEDAL,2
tree_large,A039,roble,SANJUAN,SJ2,ROBLEDAL,1
tree_large,A040,roble,SANJUAN,SJ2,ROBLEDAL,3
tree_large,A041,roble,SANJUAN,SJ2,ROBLEDAL,5.333333333333333
tree_large,B001,roble,CANAR,CA3,CLARO_BORDE,2.3333333333333335
tree_large,B002,roble,CANAR,CA3,CLARO_BORDE,1
tree_large,B003,encina,CANAR,CA3,CLARO_BORDE,0.3333333333333333
tree_large,B003,roble,CANAR,CA3,CLARO_BORDE,1.6666666666666667
tree_large,B004,roble,CANAR,CA1,CLARO_BORDE,1.3333333333333333
tree_large,B005,roble,CANAR,CA1,CLARO_BORDE,1.6666666666666667
tree_large,B006,roble,CANAR,CA1,CLARO_BORDE,3
tree_large,B008,roble,CANAR,CA2,CLARO_BORDE,0.6666666666666666
tree_large,B010,roble,CANAR,CA2,CLARO_BORDE,1.6666666666666667
tree_large,B011,roble,CANAR,CA2,CLARO_BORDE,5.333333333333333
tree_large,C001,roble,SANJUAN,SJ1,CLARO_BORDE,1.6666666666666667
tree_large,C002,roble,SANJUAN,SJ1,CLARO_BORDE,3.6666666666666665
tree_large,C003,roble,SANJUAN,SJ1,CLARO_BORDE,3.6666666666666665
tree_large,C004,roble,SANJUAN,SJ2,CLARO_BORDE,2.3333333333333335
tree_large,C006,roble,SANJUAN,SJ2,CLARO_BORDE,2.6666666666666665
tree_large,C010,roble,SANJUAN,SJ2,CLARO_BORDE,1
tree_large,P007,roble,CANAR,CA2,ROBLEDAL,2.3333333333333335
tree_large,P008,roble,CANAR,CA1,CLARO,0.6666666666666666
tree_large,P016,roble,CANAR,CA2,CLARO,0.3333333333333333
tree_large,P020,roble,CANAR,CA3,CLARO,1.3333333333333333
tree_large,P021,roble,CANAR,CA3,ROBLEDAL,3.3333333333333335
tree_large,P022,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
tree_large,P023,roble,CANAR,CA3,ROBLEDAL,1.3333333333333333
tree_large,P024,roble,CANAR,CA2,ROBLEDAL,1.6666666666666667
tree_large,P026,roble,CANAR,CA3,ROBLEDAL,0.6666666666666666
tree_large,P027,roble,CANAR,CA2,ROBLEDAL,3.3333333333333335
tree_large,P028,roble,CANAR,CA1,ROBLEDAL,3
tree_large,P030,roble,CANAR,CA1,ROBLEDAL,3.3333333333333335
tree_large,P031,roble,CANAR,CA1,ROBLEDAL,2
tree_large,P033,roble,CANAR,CA2,ROBLEDAL,1.3333333333333333
tree_large,P034,roble,CANAR,CA3,ROBLEDAL,4
tree_large,P035,roble,CANAR,CA1,ROBLEDAL,3.3333333333333335
tree_large,P037,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
tree_large,P038,roble,CANAR,CA2,ROBLEDAL,1.6666666666666667
tree_medium,A004,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
tree_medium,A006,roble,SANJUAN,SJ1,CLARO,1
tree_medium,A024,roble,SANJUAN,SJ1,ROBLEDAL,1
tree_medium,A027,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
tree_medium,A028,roble,SANJUAN,SJ2,ROBLEDAL,3
tree_medium,A029,roble,SANJUAN,SJ2,ROBLEDAL,1.3333333333333333
tree_medium,A031,roble,SANJUAN,SJ1,ROBLEDAL,1
tree_medium,A032,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
tree_medium,A033,roble,SANJUAN,SJ1,ROBLEDAL,2
tree_medium,A034,roble,SANJUAN,SJ1,ROBLEDAL,3.6666666666666665
tree_medium,A035,roble,SANJUAN,SJ1,ROBLEDAL,2.3333333333333335
tree_medium,A036,roble,SANJUAN,SJ2,ROBLEDAL,2.6666666666666665
tree_medium,A037,roble,SANJUAN,SJ2,ROBLEDAL,1.3333333333333333
tree_medium,A038,roble,SANJUAN,SJ2,ROBLEDAL,2.3333333333333335
tree_medium,A039,roble,SANJUAN,SJ2,ROBLEDAL,5
tree_medium,A040,roble,SANJUAN,SJ2,ROBLEDAL,3.3333333333333335
tree_medium,A041,roble,SANJUAN,SJ2,ROBLEDAL,7
tree_medium,B001,roble,CANAR,CA3,CLARO_BORDE,2.3333333333333335
tree_medium,B002,roble,CANAR,CA3,CLARO_BORDE,1.3333333333333333
tree_medium,B003,roble,CANAR,CA3,CLARO_BORDE,0.6666666666666666
tree_medium,B004,roble,CANAR,CA1,CLARO_BORDE,0.6666666666666666
tree_medium,B005,roble,CANAR,CA1,CLARO_BORDE,0.6666666666666666
tree_medium,B008,roble,CANAR,CA2,CLARO_BORDE,1.6666666666666667
tree_medium,B010,roble,CANAR,CA2,CLARO_BORDE,3.3333333333333335
tree_medium,B011,roble,CANAR,CA2,CLARO_BORDE,2.3333333333333335
tree_medium,C001,roble,SANJUAN,SJ1,CLARO_BORDE,4.666666666666667
tree_medium,C003,roble,SANJUAN,SJ1,CLARO_BORDE,0.6666666666666666
tree_medium,C004,roble,SANJUAN,SJ2,CLARO_BORDE,0.3333333333333333
tree_medium,C006,roble,SANJUAN,SJ2,CLARO_BORDE,0.3333333333333333
tree_medium,C010,roble,SANJUAN,SJ2,CLARO_BORDE,3.6666666666666665
tree_medium,P002,roble,CANAR,CA1,CLARO,0.3333333333333333
tree_medium,P003,roble,CANAR,CA1,CLARO,0.3333333333333333
tree_medium,P005,roble,CANAR,CA3,CLARO,0.3333333333333333
tree_medium,P007,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
tree_medium,P008,roble,CANAR,CA1,CLARO,0.6666666666666666
tree_medium,P009,roble,CANAR,CA1,CLARO,0.6666666666666666
tree_medium,P010,roble,CANAR,CA1,CLARO,1
tree_medium,P012,roble,CANAR,CA2,CLARO,0.3333333333333333
tree_medium,P017,roble,CANAR,CA2,CLARO,0.3333333333333333
tree_medium,P020,roble,CANAR,CA3,CLARO,0.6666666666666666
tree_medium,P022,roble,CANAR,CA2,ROBLEDAL,0.3333333333333333
tree_medium,P023,roble,CANAR,CA3,ROBLEDAL,4.333333333333333
tree_medium,P024,roble,CANAR,CA2,ROBLEDAL,0.6666666666666666
tree_medium,P026,roble,CANAR,CA3,ROBLEDAL,6
tree_medium,P028,roble,CANAR,CA1,ROBLEDAL,2
tree_medium,P030,roble,CANAR,CA1,ROBLEDAL,3
tree_medium,P031,roble,CANAR,CA1,ROBLEDAL,1.6666666666666667
tree_medium,P033,roble,CANAR,CA2,ROBLEDAL,2.6666666666666665
tree_medium,P035,roble,CANAR,CA1,ROBLEDAL,1
tree_small,A005,roble,SANJUAN,SJ1,CLARO,0.3333333333333333
tree_small,A006,roble,SANJUAN,SJ1,CLARO,1
tree_small,A011,roble,SANJUAN,SJ2,CLARO,0.3333333333333333
tree_small,A024,roble,SANJUAN,SJ1,ROBLEDAL,1
tree_small,A028,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
tree_small,A031,roble,SANJUAN,SJ1,ROBLEDAL,0.6666666666666666
tree_small,A032,roble,SANJUAN,SJ1,ROBLEDAL,6.333333333333333
tree_small,A033,roble,SANJUAN,SJ1,ROBLEDAL,3.6666666666666665
tree_small,A034,roble,SANJUAN,SJ1,ROBLEDAL,1.3333333333333333
tree_small,A038,roble,SANJUAN,SJ2,ROBLEDAL,0.6666666666666666
tree_small,A039,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
tree_small,A040,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
tree_small,A041,roble,SANJUAN,SJ2,ROBLEDAL,0.3333333333333333
tree_small,B001,roble,CANAR,CA3,CLARO_BORDE,2.6666666666666665
tree_small,B002,pino,CANAR,CA3,CLARO_BORDE,0.3333333333333333
tree_small,B002,roble,CANAR,CA3,CLARO_BORDE,3.3333333333333335
tree_small,B003,roble,CANAR,CA3,CLARO_BORDE,0.6666666666666666
tree_small,B004,roble,CANAR,CA1,CLARO_BORDE,1
